,molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
86,CHEMBL2386718,244.0,nM,C[C@H](Nc1nccc(Nc2cc(C3CC3(F)F)[nH]n2)n1)c1ccc2[nH]cnc2c1,6.61261017366127,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573C80>
87,CHEMBL3596908,260.0,nM,O=C(c1ccc(Cl)cc1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,6.585026652029182,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573CF0>
88,CHEMBL3933198,270.0,nM,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)cc(N2CCOCC2)c1,6.568636235841012,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573D60>
89,CHEMBL3597012,270.0,nM,CC(=O)N1CCc2cc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)ccc2C1,6.568636235841012,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573DD0>
90,CHEMBL3580972,281.0,nM,C[C@H](Nc1nccc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]cnc2c1,6.55129368009492,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573E40>
92,CHEMBL3609330,323.0,nM,CCN1c2ccc(F)cc2N=C(N2CCN(C)CC2)c2cc(Cl)ccc21,6.490797477668897,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573F20>
93,CHEMBL4763427,330.0,nM,CNC(=O)c1n[nH]c2cc(-c3ccc(-n4ccccc4=O)cc3Cl)ccc12,6.481486060122112,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3573F90>
94,CHEMBL3769456,341.0,nM,CNc1ncc2cc(-c3ccc(-c4cncc(C)n4)cc3Cl)c(=O)n(C[C@H]3CC[C@H](N)CC3)c2n1,6.467245621007502,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D040>
95,CHEMBL3580974,362.0,nM,Clc1c(CNc2nccc(Nc3cc(C4CC4)[nH]n3)n2)ccc2[nH]cnc12,6.441291429466834,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D0B0>
96,CHEMBL3770943,399.0,nM,CNc1ncc2cc(-c3ccc(-c4cncc(C)n4)cc3Cl)c(=O)n(C[C@H]3CNCCO3)c2n1,6.399027104313252,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D120>
97,CHEMBL3596902,400.0,nM,O=C(c1ccccc1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,6.3979400086720375,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D190>
98,CHEMBL3891484,420.0,nM,Cc1ccc(N(C)c2nc(Nc3cc(N4CCOCC4)cc(S(C)(=O)=O)c3)ncc2F)cc1CO,6.376750709602099,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D200>
99,CHEMBL3596918,440.0,nM,CS(=O)(=O)c1ccc(C(=O)c2c[nH]c3ncc(-c4cnn(C5CCNCC5)c4)cc23)c(Cl)c1,6.356547323513812,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D270>
100,CHEMBL3596900,460.0,nM,Clc1ccccc1-c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,6.337242168318426,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D2E0>
101,CHEMBL3980696,480.0,nM,CN(c1cc(CO)ccc1Cl)c1nc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)ncc1F,6.318758762624412,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D350>
103,CHEMBL3596906,490.0,nM,COc1ccccc1C(=O)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,6.309803919971486,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D430>
