,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
188,CHEMBL4764030,7380.0,nM,O=C(CCN1CCCCC1)Nc1ccc2c(c1)/C(=C\c1cnc3ccccn13)C(=O)N2,5.131943638176958,415.20082504,5,2,3.6415000000000015,True
189,CHEMBL3594175,7800.0,nM,CN1CC[C@H](c2cc(Nc3ccnc(N(C)Cc4ccc5[nH]cnc5c4Cl)n3)n[nH]2)C1=O,5.107905397309519,451.1635840040001,7,3,3.0551000000000004,True
190,CHEMBL4793834,7820.0,nM,O=C(c1ccc(F)cc1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.106793246940152,340.14478738400004,5,2,2.2087000000000003,True
191,CHEMBL4755550,7830.0,nM,O=C(CCN1CCCCC1)Nc1ccc2c(c1)/C(=C\c1ccc(F)c(Cl)c1)C(=O)N2,5.106238237942057,427.146282876,3,2,4.786300000000004,True
192,CHEMBL4782367,7890.0,nM,S=C(Nc1cccc(Cl)c1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.10292299679058,387.103292256,5,3,3.2796000000000003,True
194,CHEMBL2403076,8360.0,nM,Cc1nnc(-c2cc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)ccc2N2CCN(C)CC2)o1,5.077793722560983,500.1839851000001,9,1,4.716900000000005,True
195,CHEMBL4798937,8710.0,nM,FC(F)(F)c1cc(NC(=S)N2CCC(Nc3ncnc4[nH]ncc34)CC2)cc(C(F)(F)F)c1,5.059981844992336,489.1170338640001,5,3,4.663800000000003,True
196,CHEMBL4776846,8820.0,nM,COc1ccc(C(=O)NC2CCN(c3ncnc4[nH]ncc34)CC2)cc1,5.05453141486818,352.16477388,6,2,1.7602999999999993,True
197,CHEMBL4785123,9320.0,nM,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.030584087646019,473.1398774840002,5,3,4.498900000000003,True
198,CHEMBL4761779,9380.0,nM,COc1ccc(/C=C2/C(=O)Nc3ccc(NC(=O)CCN4CCOCC4)cc32)cc1,5.027797161620935,407.18450628,5,2,2.848700000000001,True
199,CHEMBL4789709,9440.0,nM,O=C(c1ccc(Cl)cc1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.025028005701931,356.11523684400004,5,2,2.7230000000000008,True
200,CHEMBL4743990,9560.0,nM,O=C(CCN1CCCCC1)Nc1ccc2c(c1)/C(=C\c1ccco1)C(=O)N2,5.0195421077239,365.173941596,4,2,3.586800000000001,True
201,CHEMBL3128055,9600.0,nM,CCNc1nc2ccc(C#CC(C)(C)O)cc2n1-c1ncnc(N)n1,5.017728766960431,337.1651082280001,8,3,1.3468999999999995,True
202,CHEMBL3884319,10000.0,nM,CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,5.0,386.174275944,5,2,4.2375000000000025,True
203,CHEMBL4784170,10780.0,nM,COc1cc(/C=C2/C(=O)Nc3ccc(NC(=O)CCN4CCOCC4)cc32)ccc1O,4.96738123914928,423.1794209,6,3,2.554300000000001,True
204,CHEMBL4800106,10850.0,nM,O=C(Nc1ccc(Cl)c(Cl)c1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,4.964570261815451,405.0871635240001,5,3,3.768100000000001,True
